num_item_id, uni_lemma, avg_surprisal
571,morning,NA
572,night,11.511850833892822
573,now,9.58057975769043
574,time,7.782713890075684
575,today,NA
576,tomorrow,9.698900858561197
577,tonight,NA
578,yesterday,NA
579,he,7.639480352401733
580,her,5.821035265922546
581,hers,NA
582,him,NA
583,his,5.758889198303223
584,i,5.399647792180379
585,it,3.2449681869772977
586,me,6.44010329246521
587,mine,13.0488862991333
588,my,6.2737510204315186
589,myself,NA
590,our,NA
591,she,4.299161701202393
592,that,2.8369331126119577
593,their,NA
594,them,3.593419952392578
595,these,5.619570851325989
596,they,5.491590817769368
597,this,4.7931414084001025
598,those,4.755547841389974
599,us,NA
600,we,6.035175919532776
601,you,3.79386212609031
602,your,3.9536883580057243
603,yourself,NA
604,how,6.005048751831055
605,what,6.031495940300726
609,who,7.875140190124512
610,why,5.686659097671509
611,about,NA
612,above,NA
613,around,5.916531562805176
614,at,5.110491752624512
615,away,7.497418403625488
617,behind,NA
618,beside,NA
619,by,NA
620,down,5.749709367752075
621,for,4.539314126968383
622,here,3.7012892166773477
623,in,3.3156338214874266
624,into,6.366443157196045
626,of,5.6656772295633955
627,off,6.189842700958252
628,on,4.803995418548584
630,out,4.9156782031059265
631,over,5.73226277033488
632,there,3.549862012863159
633,to,5.119202878740099
634,under,NA
635,up,4.051850509643555
636,with,5.829385089874267
637,a,3.7149273940495084
638,all,4.336086591084798
640,a,3.7149273940495084
641,another,5.048420111338298
642,any,NA
643,each,NA
644,every,NA
645,more,6.520171642303467
646,much,NA
647,none,NA
648,not,4.998541037241618
649,other,NA
650,same,NA
651,some,4.734557151794434
652,the,3.531515984308152
653,too,6.383542537689209
654,am,NA
655,are,5.920739412307739
656,be,NA
658,could,NA
659,did,6.316934744517009
660,do,5.447168895176479
661,does,5.502370166778564
662,dont,4.685370547430856
663,gonna,6.078278064727783
664,gotta,NA
665,hafta,NA
666,is,2.860247107113109
667,lemme,NA
668,need,NA
669,try,5.610052585601807
670,wanna,NA
671,was,5.390837033589681
672,were,NA
673,will,11.450609922409058
674,would,NA
675,and,4.866248201440881
676,because,NA
677,but,12.482705116271973
678,if,NA
679,so,5.754678567250569
680,then,12.587051391601562
